Name,Importance
sttl,0.14058397537023606
ct_state_ttl,0.13680696914414361
dload,0.063679071690289
rate,0.04571859156170749
sload,0.045558136303768836
dttl,0.04316422874978964
sbytes,0.0350104042978356
synack,0.03265677306937605
ackdat,0.03200861510865381
dmean,0.028622872577812528
state,0.026152360603246487
ct_srv_dst,0.025715813660279255
tcprtt,0.024732109842130243
smean,0.022799619388493838
dbytes,0.022221141437306902
sjit,0.021587189033414948
ct_srv_src,0.02154708975025206
sinpkt,0.021238192364450795
ct_dst_src_ltm,0.02095208364868441
dinpkt,0.018551934108703948
dur,0.017716936253048734
dpkts,0.016212585466638882
dloss,0.01498668339529357
djit,0.011719006054242174
spkts,0.010131241726509784
ct_dst_ltm,0.009592228062246081
ct_src_ltm,0.009017445555909208
udp,0.008727816758621396
dtcpb,0.008688415857878891
sloss,0.00767096417752477
stcpb,0.0070163834666520505
ct_src_dport_ltm,0.0060824409210645716
REQ,0.005794878660044156
swin,0.005479135195676385
is_sm_ips_ports,0.005447989393045022
ct_dst_sport_ltm,0.004942574527568182
dns,0.003794656414536547
unas,0.003759235770669671
tcp,0.0024973115567323186
INT,0.0018503444159522083
arp,0.001830344712323289
RST,0.00114168529539757
ct_flw_http_mthd,0.0010747537728201713
trans_depth,0.001011794686150467
http,0.0009947286521456167
proto,0.000934903342056381
response_body_len,0.0008851879172601441
-,0.0007911198401548854
dwin,0.0001938641753251276
-.1,0.000169707484856845
ct_ftp_cmd,0.0001322513918937235
smtp,0.00012754561809663406
is_ftp_login,0.00011792656767268461
CON,5.6974822147204605e-05
service,5.3401923687236364e-05
FIN,4.836445758199359e-05
